ID,FK_ZAEHLER,DATE,VELO_IN,VELO_OUT,FUSS_IN,FUSS_OUT
344130,Y0410090357,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344131,U15G6121229,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344132,Y2G13124878,2019-04-08 04:30:00,2.0,0.0,0.0,0.0
344133,Y2G13124879,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344134,Y2H18106793,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344135,U15G3063873,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344136,Y2G14045586,2019-04-08 04:30:00,1.0,0.0,0.0,0.0
344137,Y2H18106792,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344138,Y2G14045587,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344139,U15G3063864,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344140,YPH15108550,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344141,ECO09022739,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344142,ECO09113503,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344143,ECO09022739,2019-04-08 04:45:00,1.0,0.0,0.0,0.0
344144,ECO09113499,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344145,Y2H16039396,2019-04-08 04:45:00,1.0,2.0,0.0,0.0
344146,U15G3063866,2019-04-08 04:45:00,0.0,0.0,7.0,1.0
344147,Y2H16069942,2019-04-08 04:45:00,1.0,0.0,0.0,0.0
344148,Y2H16069943,2019-04-08 04:45:00,3.0,1.0,0.0,0.0
344149,U15G3063867,2019-04-08 04:45:00,0.0,0.0,1.0,0.0
344150,U15G3063869,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344151,U15G3063870,2019-04-08 04:45:00,0.0,0.0,1.0,3.0
344152,YSH18065716,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344153,U15G3104442,2019-04-08 04:45:00,0.0,0.0,1.0,1.0
344154,U15G3063872,2019-04-08 04:45:00,0.0,0.0,0.0,1.0
344155,U15G3104443,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344156,U15G3104444,2019-04-08 04:45:00,0.0,0.0,4.0,3.0
344157,U15G3104445,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344158,U15G3104446,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344159,ECO09113506,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344160,Y2G13124875,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344161,Y0412032046,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344162,Y2G13124877,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344163,Y2G13124876,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344164,Y0410090357,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344165,U15G6121229,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344166,Y2G13124878,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344167,Y2G13124879,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344168,Y2H18106793,2019-04-08 04:45:00,0.0,1.0,0.0,0.0
344169,U15G3063873,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344170,Y2G14045586,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344171,Y2H18106792,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344172,Y2G14045587,2019-04-08 04:45:00,1.0,0.0,0.0,0.0
344173,U15G3063864,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344174,YPH15108550,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344175,U15G3063865,2019-04-08 04:45:00,0.0,0.0,0.0,0.0
344176,ECO09022739,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344177,U15G3063865,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344178,Y2H16039396,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344179,U15G3063866,2019-04-08 05:00:00,0.0,0.0,5.0,0.0
344180,Y2H16069942,2019-04-08 05:00:00,3.0,0.0,0.0,0.0
344181,Y2H16069943,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344182,U15G3063867,2019-04-08 05:00:00,0.0,0.0,1.0,2.0
344183,U15G3063869,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344184,U15G3063870,2019-04-08 05:00:00,0.0,0.0,0.0,1.0
344185,YSH18065716,2019-04-08 05:00:00,0.0,0.0,0.0,1.0
344186,U15G3104442,2019-04-08 05:00:00,0.0,0.0,0.0,2.0
344187,U15G3063872,2019-04-08 05:00:00,0.0,0.0,0.0,2.0
344188,U15G3104443,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344189,U15G3104444,2019-04-08 05:00:00,0.0,0.0,3.0,0.0
344190,U15G3104445,2019-04-08 05:00:00,0.0,0.0,1.0,1.0
344191,U15G3104446,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344192,ECO07091438,2019-04-08 05:00:00,3.0,1.0,0.0,0.0
344193,ECO07111527,2019-04-08 05:00:00,2.0,2.0,2.0,0.0
344194,ECO06040592,2019-04-08 05:00:00,0.0,1.0,0.0,0.0
344195,ECO09113506,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344196,ECO09113503,2019-04-08 05:00:00,1.0,1.0,0.0,0.0
344197,Y2G13124875,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344198,Y0412032046,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
